ts,open,high,low,close,volume,provenance,sha256
1788289200,0.47,0.47,0.47,0.47,20.0,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788292800,0.47,0.48,0.47,0.48,3.64,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788318000,0.48,0.48,0.48,0.48,0.5,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788321600,0.47,0.47,0.47,0.47,28.18,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788400800,0.57,0.57,0.54,0.54,86.64,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788418800,0.51,0.51,0.51,0.51,9.85,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788436800,0.53,0.62,0.53,0.55,222.51,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788444000,0.59,0.59,0.59,0.59,0.5,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788451200,0.62,0.62,0.62,0.62,20.0,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788490800,0.64,0.64,0.64,0.64,9.85,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788526800,0.5,0.5,0.5,0.5,0.21,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788534000,0.55,0.55,0.55,0.55,18.0,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788559200,0.59,0.59,0.59,0.59,14.82,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788562800,0.58,0.58,0.58,0.58,100.0,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788566400,0.6,0.6,0.6,0.6,0.32,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788577200,0.6,0.6,0.6,0.6,15.38,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788602400,0.58,0.58,0.58,0.58,4.57,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788606000,0.59,0.59,0.58,0.58,32.76,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788613200,0.6,0.6,0.6,0.6,40.3,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788627600,0.61,0.61,0.61,0.61,1.51,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
1788631200,0.58,0.58,0.58,0.58,9.88,candles-06,a31515c786425fdb2e36fb3ce90c518d615b15322f3e099af67d001901cad9b1
