ts,open,high,low,close,volume,provenance,sha256
1789794000,0.58,0.59,0.58,0.59,10.12,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789797600,0.58,0.58,0.58,0.58,5.5,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789804800,0.57,0.57,0.54,0.54,3.4,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789808400,0.56,0.56,0.56,0.56,3.46,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789819200,0.54,0.57,0.54,0.57,2.0,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789840800,0.57,0.57,0.57,0.57,38.37,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789848000,0.57,0.57,0.57,0.57,8.51,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789855200,0.54,0.54,0.54,0.54,38.37,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789866000,0.54,0.54,0.54,0.54,3.46,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789905600,0.55,0.55,0.55,0.55,8.81,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789920000,0.55,0.55,0.51,0.55,22.62,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789930800,0.53,0.54,0.53,0.54,181.77,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789938000,0.55,0.55,0.55,0.55,1.76,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789941600,0.55,0.55,0.55,0.55,26.43,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789952400,0.54,0.54,0.54,0.54,2.69,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789956000,0.58,0.58,0.58,0.58,5.02,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789959600,0.5,0.5,0.5,0.5,26.43,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789988400,0.45,0.45,0.45,0.45,2.03,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1789995600,0.52,0.52,0.52,0.52,100.0,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790002800,0.43,0.45,0.41,0.45,657.56,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790017200,0.42,0.42,0.42,0.42,33.49,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790024400,0.41,0.41,0.41,0.41,33.49,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790031600,0.45,0.45,0.45,0.45,45.0,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790035200,0.54,0.54,0.54,0.54,7.0,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790046000,0.45,0.45,0.45,0.45,42.77,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790049600,0.41,0.5,0.41,0.43,763.46,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790078400,0.41,0.41,0.41,0.41,100.0,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790085600,0.38,0.38,0.38,0.38,28.0,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790103600,0.46,0.46,0.46,0.46,41.89,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790107200,0.52,0.52,0.52,0.52,0.09,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790110800,0.47,0.47,0.47,0.47,12.3,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790114400,0.47,0.47,0.47,0.47,10.25,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790125200,0.47,0.47,0.47,0.47,41.89,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
1790128800,0.41,0.41,0.37,0.37,104.68,candles-07,3c7fd11bfa84ec4c66d6b0499a966f09d27d8594bcbd8c15a9a207457902a918
