ts,open,high,low,close,volume,provenance,sha256
1785852000,0.15,0.15,0.15,0.15,81.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1785859200,0.15,0.15,0.15,0.15,44.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1785916800,0.16,0.16,0.16,0.16,30.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1785924000,0.13,0.13,0.13,0.13,1.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1785927600,0.13,0.13,0.13,0.13,1.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1785931200,0.13,0.13,0.13,0.13,1.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786305600,0.24,0.24,0.24,0.24,19.78,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786410000,0.39,0.39,0.39,0.39,25.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786449600,0.34,0.34,0.34,0.34,5.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786532400,0.39,0.39,0.39,0.39,31.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786568400,0.27,0.27,0.27,0.27,30.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786644000,0.23,0.23,0.23,0.23,20.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786834800,0.27,0.27,0.27,0.27,3.52,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1786989600,0.38,0.38,0.38,0.38,2.52,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787011200,0.33,0.34,0.33,0.34,559.91,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787018400,0.31,0.31,0.31,0.31,31.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787086800,0.17,0.17,0.17,0.17,12.0,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787140800,0.14,0.15,0.14,0.15,33.57,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787176800,0.41,0.41,0.41,0.41,117.11,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787220000,0.34,0.38,0.34,0.38,38.61,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787266800,0.51,0.52,0.51,0.52,17.92,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787270400,0.52,0.52,0.52,0.52,22.08,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787274000,0.52,0.52,0.52,0.52,3.72,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787277600,0.54,0.56,0.5,0.5,274.82,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787281200,0.6,0.6,0.6,0.6,32.24,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787284800,0.6,0.6,0.55,0.55,6.48,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787288400,0.58,0.6,0.56,0.56,343.86,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787292000,0.58,0.58,0.58,0.58,8.37,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787295600,0.59,0.59,0.59,0.59,8.23,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787299200,0.58,0.6,0.58,0.6,98.66,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787302800,0.62,0.62,0.62,0.62,7.14,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787313600,0.61,0.61,0.57,0.57,11.33,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787317200,0.64,0.64,0.55,0.55,20.13,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787320800,0.63,0.65,0.63,0.65,30.49,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787331600,0.61,0.64,0.61,0.62,62.7,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787335200,0.66,0.66,0.66,0.66,20.71,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787338800,0.62,0.62,0.62,0.62,6.04,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787342400,0.61,0.61,0.61,0.61,29.95,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787346000,0.59,0.61,0.58,0.59,17.03,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787349600,0.6,0.61,0.6,0.61,91.96,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787353200,0.59,0.59,0.58,0.58,7.97,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787356800,0.6,0.63,0.58,0.58,80.4,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
1787360400,0.61,0.61,0.61,0.61,3.19,candles-01,08fe13b0267af2cb5bdccdda7e74d764fe8c3ef2393eca47141e757c4d07c957
